,Số báo danh,Toán,Văn,Lý,Hóa,Sinh,Sử,Địa,Giáo dục công dân,Ngoại ngữ,Mã môn ngoại ngữ,Tên ngoại ngữ
1397,64001400,,7.25,,,,7.5,5.25,9.5,4.8,N1,Tiếng Anh
1398,64001401,8.6,8.75,6.25,8.5,8.5,,,,8.4,N1,Tiếng Anh
1399,64001402,,8.75,,,,6.75,7.5,8.25,8.8,N1,Tiếng Anh
1400,64001403,6.6,5.75,,,,7.25,7.75,9.5,4.2,N1,Tiếng Anh
1401,64001404,5.2,6.25,,,,5.75,6.25,8.5,4.6,N1,Tiếng Anh
1402,64001405,5.8,,,,,6.75,7.5,8.75,3.2,N1,Tiếng Anh
1403,64001406,6.6,8.25,,,,5.5,6.25,8.75,7.6,N1,Tiếng Anh
1404,64001407,5.8,6.25,,,,5.25,6.25,7.25,,N1,Tiếng Anh
1405,64001408,7.6,8.75,,,,8.75,7.5,10.0,9.4,N1,Tiếng Anh
1406,64001409,8.4,5.5,5.25,8.5,,,,,8.6,N1,Tiếng Anh
1407,64001410,6.4,5.25,,,,,7.25,,4.8,N1,Tiếng Anh
1408,64001411,4.4,,,,,5.5,7.5,8.5,5.2,N1,Tiếng Anh
1409,64001412,3.6,,,,,,7.75,9.5,2.4,N1,Tiếng Anh
1410,64001413,4.2,7.25,,,,6.5,6.25,8.25,,N1,Tiếng Anh
1411,64001414,5.4,6.5,,,,6.25,6.75,,4.6,N1,Tiếng Anh
1412,64001415,7.8,,4.5,7.5,6.25,,,,7.2,N1,Tiếng Anh
1413,64001416,4.2,5.5,,,,,5.5,,,N1,Tiếng Anh
1414,64001417,3.8,5.75,,,,3.25,2.5,6.75,3.2,N1,Tiếng Anh
1415,64001418,7.6,6.5,,,,6.5,6.75,8.5,7.2,N1,Tiếng Anh
1416,64001419,5.4,5.5,,,,6.5,5.5,7.75,5.8,N1,Tiếng Anh
1417,64001420,6.2,,3.75,,5.5,,,,,N1,Tiếng Anh
1418,64001421,5.8,5.75,5.5,6.5,,,,,3.4,N1,Tiếng Anh
1419,64001422,8.6,,7.75,6.25,5.75,,,,6.2,N1,Tiếng Anh
1420,64001423,,7.25,,,8.25,,,,5.4,N1,Tiếng Anh
1421,64001424,7.2,,5.75,7.75,5.75,,,,,N1,Tiếng Anh
1422,64001425,3.6,5.75,,,,5.25,5.25,5.25,3.2,N1,Tiếng Anh
1423,64001426,8.2,,8.5,7.5,6.75,,,,4.6,N1,Tiếng Anh
1424,64001427,5.4,7.25,,,,8.25,,,3.6,N1,Tiếng Anh
1425,64001428,8.2,7.25,6.75,8.25,8.75,,,,6.8,N1,Tiếng Anh
1426,64001429,3.4,5.25,,,,,4.5,6.5,,N1,Tiếng Anh
1427,64001430,6.4,,5.5,,5.5,,,,3.8,N1,Tiếng Anh
1428,64001431,4.4,7.5,,,,4.5,8.25,7.75,6.4,N1,Tiếng Anh
1429,64001432,6.2,7.75,,,,6.25,7.25,8.25,5.6,N1,Tiếng Anh
1430,64001433,5.8,,,,,6.75,,,4.2,N1,Tiếng Anh
1431,64001434,6.2,5.5,,7.25,5.75,,,,4.2,N1,Tiếng Anh
1432,64001435,6.6,,,,,,6.75,8.75,,N1,Tiếng Anh
1433,64001436,7.8,7.5,6.25,,6.25,,,,6.4,N1,Tiếng Anh
1434,64001437,5.4,7.75,5.75,,6.75,,,,3.6,N1,Tiếng Anh
1435,64001438,6.2,6.5,,,,7.5,7.75,,3.8,N1,Tiếng Anh
1436,64001439,,7.5,8.75,7.5,8.25,,,,,N1,Tiếng Anh
1437,64001440,4.6,,,,,6.75,5.5,7.75,,N1,Tiếng Anh
1438,64001441,5.4,5.75,,,,5.75,,,3.4,N1,Tiếng Anh
1439,64001442,3.6,5.25,,,,,5.5,7.75,2.8,N1,Tiếng Anh
1440,64001443,7.2,5.25,4.5,7.25,,,,,5.4,N1,Tiếng Anh
1441,64001444,7.2,7.25,6.75,7.75,7.5,,,,,N1,Tiếng Anh
1442,64001445,,6.25,,,,7.75,,,4.8,N1,Tiếng Anh
1443,64001446,3.4,,,,,8.5,7.25,,3.6,N1,Tiếng Anh
1444,64001447,7.8,4.75,4.75,8.75,8.75,,,,,N1,Tiếng Anh
1445,64001448,6.2,5.75,,,,3.25,,8.75,3.6,N1,Tiếng Anh
1446,64001449,4.4,5.75,,,,7.5,,,3.4,N1,Tiếng Anh
1447,64001450,,6.75,4.25,,,,,,5.6,N1,Tiếng Anh
1448,64001451,4.8,7.25,,,,7.5,,8.25,4.8,N1,Tiếng Anh
1449,64001452,8.4,6.5,7.5,,5.5,,,,,N1,Tiếng Anh
1450,64001453,3.8,,,,,9.25,,8.75,,N1,Tiếng Anh
1451,64001454,,,4.5,5.75,5.5,,,,4.2,N1,Tiếng Anh
1452,64001455,3.8,,,,,3.25,4.25,5.25,3.6,N1,Tiếng Anh
1453,64001456,4.4,,,,,5.75,6.25,8.75,4.8,N1,Tiếng Anh
1454,64001457,5.2,6.75,,,,8.25,,8.5,4.6,N1,Tiếng Anh
1455,64001458,,7.25,,,,,,7.5,5.4,N1,Tiếng Anh
1456,64001459,7.2,6.25,,,,8.75,8.25,,6.2,N1,Tiếng Anh
1457,64001460,,,,,,5.25,5.75,6.75,4.8,N1,Tiếng Anh
1458,64001461,5.4,,,,,7.75,7.5,,,N1,Tiếng Anh
1459,64001462,5.2,5.25,,,,5.5,4.5,4.75,3.4,N1,Tiếng Anh
1460,64001463,2.8,4.25,,,,,2.5,,2.8,N1,Tiếng Anh
1461,64001464,7.4,,8.5,8.75,7.25,,,,4.6,N1,Tiếng Anh
1462,64001465,7.2,7.25,7.75,6.25,5.5,,,,9.6,N1,Tiếng Anh
1463,64001466,4.6,,,,,,8.5,9.25,4.6,N1,Tiếng Anh
1464,64001467,7.6,6.25,6.75,7.75,5.75,,,,,N1,Tiếng Anh
1465,64001468,,5.5,,,,,6.75,7.25,4.6,N1,Tiếng Anh
1466,64001469,3.2,,,,,3.75,6.5,7.5,2.8,N1,Tiếng Anh
1467,64001470,6.2,6.5,,,,6.75,7.75,8.5,4.6,N1,Tiếng Anh
1468,64001471,6.6,6.5,,,6.5,,,,4.6,N1,Tiếng Anh
1469,64001472,5.2,6.25,,,,,7.25,,2.8,N1,Tiếng Anh
1470,64001473,7.8,6.75,5.5,6.25,,,,,5.4,N1,Tiếng Anh
1471,64001474,,5.75,,,,3.75,4.5,6.25,2.2,N1,Tiếng Anh
1472,64001475,,7.25,,,,6.5,,,5.4,N1,Tiếng Anh
1473,64001476,7.4,,5.75,,7.25,,,,4.4,N1,Tiếng Anh
1474,64001477,5.8,7.25,,,,6.25,,9.5,,N1,Tiếng Anh
1475,64001478,5.4,,,,,8.5,8.5,8.5,3.8,N1,Tiếng Anh
1476,64001479,,6.5,,6.25,7.25,,,,4.4,N1,Tiếng Anh
1477,64001480,5.6,7.5,,,,6.5,6.5,7.25,4.4,N1,Tiếng Anh
1478,64001481,,,7.5,,8.75,,,,7.2,N1,Tiếng Anh
1479,64001482,,,,,,5.5,5.75,8.25,6.8,N1,Tiếng Anh
1480,64001483,5.6,,,,,7.25,5.25,8.25,4.2,N1,Tiếng Anh
1481,64001484,,6.25,,,,5.75,6.25,,3.8,N1,Tiếng Anh
1482,64001485,5.6,6.25,4.25,3.5,,,,,2.2,N1,Tiếng Anh
1483,64001486,,5.5,6.25,7.25,,,,,4.6,N1,Tiếng Anh
1484,64001487,4.4,,,,,5.25,5.25,,3.8,N1,Tiếng Anh
1485,64001488,4.2,3.5,,3.25,,,,,3.8,N1,Tiếng Anh
1486,64001489,4.4,,,,,6.75,,7.5,,N1,Tiếng Anh
1487,64001490,7.8,5.25,7.5,7.25,,,,,4.2,N1,Tiếng Anh
1488,64001491,,5.5,,,,6.75,5.5,7.75,2.6,N1,Tiếng Anh
1489,64001492,,7.5,7.5,8.75,8.75,,,,6.6,N1,Tiếng Anh
1490,64001493,,,,,,6.75,7.25,8.25,5.6,N1,Tiếng Anh
1491,64001494,3.6,5.75,,,,7.5,7.5,,3.2,N1,Tiếng Anh
1492,64001495,,,,,,7.5,7.75,,2.6,N1,Tiếng Anh
1493,64001496,6.4,6.75,,,,6.5,7.5,,2.6,N1,Tiếng Anh
1494,64001497,5.8,6.5,,,,,7.25,,4.2,N1,Tiếng Anh
1495,64001498,,7.5,,,,8.25,6.75,8.25,3.8,N1,Tiếng Anh
1496,64001499,6.4,8.25,,,,,,8.5,4.2,N1,Tiếng Anh
1497,64001500,6.8,7.5,,,,4.5,5.5,7.5,5.6,N1,Tiếng Anh
1498,64001501,4.2,7.5,,,,,6.5,7.75,4.4,N1,Tiếng Anh
1499,64001502,7.4,,7.25,,7.25,,,,5.6,N1,Tiếng Anh
1500,64001503,,,,7.75,7.75,,,,,N1,Tiếng Anh
1501,64001504,7.6,7.5,,,,7.75,7.25,9.25,4.6,N1,Tiếng Anh
1502,64001505,4.2,,,,,4.75,7.25,8.25,5.8,N1,Tiếng Anh
1503,64001506,7.8,,7.25,7.75,5.25,,,,,N1,Tiếng Anh
1504,64001507,4.2,5.25,,,,3.75,,6.75,,N1,Tiếng Anh
1505,64001508,6.4,,,,,4.5,5.75,,,N1,Tiếng Anh
1506,64001509,5.2,6.25,4.75,6.25,4.75,,,,,N1,Tiếng Anh
1507,64001510,5.6,5.25,,,,7.75,,8.5,4.2,N1,Tiếng Anh
1508,64001511,8.4,7.75,4.5,8.25,8.75,,,,,N1,Tiếng Anh
1509,64001512,7.8,6.5,6.25,7.25,,,,,4.8,N1,Tiếng Anh
1510,64001513,5.8,,4.75,4.5,4.25,,,,,N1,Tiếng Anh
1511,64001514,6.2,,7.25,,6.25,,,,,N1,Tiếng Anh
1512,64001515,6.8,,5.25,6.75,7.25,,,,3.8,N1,Tiếng Anh
1513,64001516,6.4,6.75,,,,5.25,,,,N1,Tiếng Anh
1514,64001517,,6.75,4.25,7.5,5.25,,,,2.8,N1,Tiếng Anh
1515,64001518,4.4,,,,,4.75,6.75,6.25,8.2,N1,Tiếng Anh
1516,64001519,7.2,6.5,7.5,7.25,5.5,,,,6.4,N1,Tiếng Anh
1517,64001520,6.2,,,,,7.25,5.75,9.5,,N1,Tiếng Anh
1518,64001521,8.6,2.25,5.5,6.75,6.75,,,,4.6,N1,Tiếng Anh
1519,64001522,7.4,,,,,7.75,7.5,9.25,3.6,N1,Tiếng Anh
1520,64001523,6.2,,,,,7.25,6.25,8.25,3.8,N1,Tiếng Anh
1521,64001524,,,3.75,5.5,,,,,2.4,N1,Tiếng Anh
1522,64001525,6.4,6.5,,,,6.75,6.25,,5.4,N1,Tiếng Anh
1523,64001526,4.8,6.75,,,,6.25,6.5,8.25,4.4,N1,Tiếng Anh
1524,64001527,3.6,6.5,,,,4.5,,6.25,2.4,N1,Tiếng Anh
1525,64001528,2.4,5.75,,,,2.5,5.5,5.5,3.2,N1,Tiếng Anh
1526,64001529,7.4,7.75,4.75,8.25,7.25,,,,,N1,Tiếng Anh
1527,64001530,4.2,,,,,7.25,,8.5,3.8,N1,Tiếng Anh
1528,64001531,,7.75,,,,,6.5,,3.8,N1,Tiếng Anh
1529,64001532,5.6,,4.75,5.25,5.75,,,,5.6,N1,Tiếng Anh
1530,64001533,,6.75,7.75,7.75,7.25,,,,5.6,N1,Tiếng Anh
1531,64001534,3.4,5.75,,,,4.75,5.25,6.75,4.4,N1,Tiếng Anh
1532,64001535,7.8,,8.75,8.75,7.5,,,,,N1,Tiếng Anh
1533,64001536,8.8,4.5,8.5,,5.25,,,,5.6,N1,Tiếng Anh
1534,64001537,7.4,7.5,6.5,7.75,8.5,,,,4.8,N1,Tiếng Anh
1535,64001538,3.8,,,,,4.5,5.5,,3.2,N1,Tiếng Anh
1536,64001539,,5.75,,,,2.5,,6.25,2.4,N1,Tiếng Anh
1537,64001540,6.8,,6.75,8.25,5.75,,,,4.6,N1,Tiếng Anh
1538,64001541,4.6,7.5,,,,7.25,7.5,,4.4,N1,Tiếng Anh
1539,64001542,3.8,6.25,,,,4.75,6.25,7.25,,N1,Tiếng Anh
1540,64001543,6.8,,,,,7.75,,,9.2,N1,Tiếng Anh
1541,64001544,5.8,6.25,,,,6.75,6.25,10.0,4.8,N1,Tiếng Anh
1542,64001545,,,,,,8.5,7.25,8.25,,N1,Tiếng Anh
1543,64001546,8.2,7.75,9.5,9.5,,,,,8.4,N1,Tiếng Anh
1544,64001547,6.2,5.25,,,,7.5,5.5,,5.6,N1,Tiếng Anh
1545,64001548,7.4,7.25,6.25,,6.5,,,,6.4,N1,Tiếng Anh
1546,64001549,6.4,,6.25,6.25,6.5,,,,,N1,Tiếng Anh
1547,64001550,7.8,,5.75,,,,,,4.6,N1,Tiếng Anh
1548,64001551,,5.5,,,,6.25,,,3.8,N1,Tiếng Anh
1549,64001552,2.6,,,,,,4.5,5.75,2.4,N1,Tiếng Anh
1550,64001553,,6.75,,,,,,,4.2,N1,Tiếng Anh
1551,64001554,2.8,6.25,,,,,4.5,6.75,,N1,Tiếng Anh
1552,64001555,4.4,6.75,,,,7.75,,6.5,2.8,N1,Tiếng Anh
1553,64001556,,,,,,9.25,,9.5,3.6,N1,Tiếng Anh
1554,64001557,6.6,7.25,6.25,5.5,,,,,,N1,Tiếng Anh
1555,64001558,5.4,,,,,6.5,4.75,,3.4,N1,Tiếng Anh
1556,64001559,8.6,,8.25,,6.75,,,,5.8,N1,Tiếng Anh
1557,64001560,6.8,6.25,,4.75,6.75,,,,3.6,N1,Tiếng Anh
1558,64001561,,,8.75,8.5,7.25,,,,5.8,N1,Tiếng Anh
1559,64001562,4.2,,3.5,,,,,,3.6,N1,Tiếng Anh
1560,64001563,5.6,5.5,,,,,5.75,7.75,,N1,Tiếng Anh
1561,64001564,5.4,6.75,,5.25,5.75,,,,5.4,N1,Tiếng Anh
1562,64001565,4.6,6.75,,,,,5.75,6.75,2.2,N1,Tiếng Anh
1563,64001566,7.8,7.25,7.25,7.5,6.25,,,,5.2,N1,Tiếng Anh
1564,64001567,7.4,,6.75,6.75,,,,,,N1,Tiếng Anh
1565,64001568,4.2,7.25,4.5,3.75,3.75,,,,2.2,N1,Tiếng Anh
1566,64001569,3.4,6.5,,,,6.5,,7.25,3.2,N1,Tiếng Anh
1567,64001570,6.2,6.75,,,,6.25,,,,N1,Tiếng Anh
1568,64001571,7.8,,7.25,6.75,,,,,6.6,N1,Tiếng Anh
1569,64001572,6.8,6.75,7.25,,8.25,,,,5.2,N1,Tiếng Anh
1570,64001573,7.4,8.75,,,,6.5,6.25,9.5,8.4,N1,Tiếng Anh
1571,64001574,4.2,6.75,,,,7.75,,8.5,7.2,N1,Tiếng Anh
1572,64001575,7.8,5.75,7.5,7.5,5.75,,,,,N1,Tiếng Anh
1573,64001576,4.6,5.5,3.75,6.25,5.25,,,,2.2,N1,Tiếng Anh
1574,64001577,5.6,5.75,,,,7.25,5.75,,4.6,N1,Tiếng Anh
1575,64001578,,,,,,8.25,6.75,8.5,5.8,N1,Tiếng Anh
1576,64001579,6.4,7.25,6.5,,,,,,6.4,N1,Tiếng Anh
1577,64001580,5.4,7.25,,,,6.25,6.75,,3.6,N1,Tiếng Anh
1578,64001581,7.4,6.25,3.5,,7.25,,,,5.8,N1,Tiếng Anh
1579,64001582,6.6,6.25,4.25,4.25,5.25,,,,4.4,N1,Tiếng Anh
1580,64001583,4.6,6.5,,,,6.75,,,,N1,Tiếng Anh
1581,64001584,,,,,,,,,9.2,N1,Tiếng Anh
1582,64001585,7.8,8.5,,,,,,,,N1,Tiếng Anh
1583,64001586,,7.75,,8.25,9.25,,,,6.6,N1,Tiếng Anh
1584,64001587,8.4,,3.75,8.5,9.75,,,,,N1,Tiếng Anh
1585,64001588,7.4,,,,,,7.25,,8.4,N1,Tiếng Anh
1586,64001589,,,,,,4.5,6.25,,3.8,N1,Tiếng Anh
1587,64001590,6.2,,6.75,6.75,6.5,,,,4.6,N1,Tiếng Anh
1588,64001591,6.4,,4.5,4.25,5.5,,,,,N1,Tiếng Anh
1589,64001592,5.8,5.75,3.75,4.5,7.5,,,,3.2,N1,Tiếng Anh
1590,64001593,7.4,7.5,,6.75,7.5,,,,,N1,Tiếng Anh
1591,64001594,6.6,8.5,,,,,5.5,,,N1,Tiếng Anh
1592,64001595,3.8,6.25,,,,,6.25,,2.4,N1,Tiếng Anh
1593,64001596,6.4,6.5,6.75,,5.25,,,,3.6,N1,Tiếng Anh
1594,64001597,,,4.25,6.25,7.25,,,,4.2,N1,Tiếng Anh
1595,64001598,8.6,,7.75,7.5,,,,,,N1,Tiếng Anh
1596,64001599,7.6,7.5,5.75,7.5,8.5,,,,6.2,N1,Tiếng Anh
1597,64001600,,8.5,,,,9.5,8.5,,6.8,N1,Tiếng Anh
1598,64001601,6.2,,,,,,7.25,,5.2,N1,Tiếng Anh
1599,64001602,,,,,,,,8.75,5.4,N1,Tiếng Anh
1600,64001603,3.2,,,,,,,7.5,3.6,N1,Tiếng Anh
1601,64001604,7.8,7.5,,7.75,,,,,6.4,N1,Tiếng Anh
1602,64001605,4.2,6.75,,,,4.75,5.25,,3.2,N1,Tiếng Anh
1603,64001606,4.6,7.75,,,,,6.75,8.75,5.4,N1,Tiếng Anh
1604,64001607,5.6,6.5,,,,,6.25,,3.2,N1,Tiếng Anh
1605,64001608,,,4.5,7.5,5.25,,,,4.2,N1,Tiếng Anh
1606,64001609,7.8,,8.5,,,,,,5.2,N1,Tiếng Anh
1607,64001610,,7.25,,,,,7.75,9.25,4.4,N1,Tiếng Anh
1608,64001611,7.6,7.25,7.75,,7.25,,,,3.8,N1,Tiếng Anh
1609,64001612,7.8,6.5,6.5,7.5,,,,,,N1,Tiếng Anh
1610,64001613,,7.25,6.25,8.25,5.5,,,,5.2,N1,Tiếng Anh
1611,64001614,6.8,7.75,,,,7.5,6.5,8.25,8.2,N1,Tiếng Anh
1612,64001615,4.4,7.25,,,,8.5,8.5,9.75,4.2,N1,Tiếng Anh
1613,64001616,4.4,6.08,,,,8.25,6.25,8.25,9.4,N1,Tiếng Anh
1614,64001617,6.8,4.5,5.75,7.25,6.5,,,,4.8,N1,Tiếng Anh
1615,64001618,,,3.5,5.5,5.25,,,,3.6,N1,Tiếng Anh
1616,64001619,5.2,7.25,,3.5,,,,,3.4,N1,Tiếng Anh
1617,64001620,,6.5,,,,5.75,6.75,6.75,3.8,N1,Tiếng Anh
1618,64001621,5.2,8.75,,,,8.75,8.25,7.5,5.6,N1,Tiếng Anh
1619,64001622,3.8,,,,,4.25,5.5,6.75,2.4,N1,Tiếng Anh
1620,64001623,,8.75,,,,9.25,8.5,8.75,5.4,N1,Tiếng Anh
1621,64001624,6.4,6.75,6.25,6.25,6.75,,,,3.4,N1,Tiếng Anh
1622,64001625,4.6,4.25,,,,,,6.5,,N1,Tiếng Anh
1623,64001626,4.8,7.25,,,,6.75,6.25,7.5,2.6,N1,Tiếng Anh
1624,64001627,,6.25,,,,5.5,,,4.6,N1,Tiếng Anh
1625,64001628,7.2,7.75,,,5.5,,,,4.2,N1,Tiếng Anh
1626,64001629,3.8,6.5,,,,3.75,,,5.4,N1,Tiếng Anh
1627,64001630,6.2,6.5,5.25,4.5,5.75,,,,3.4,N1,Tiếng Anh
1628,64001631,4.8,,,,,6.25,7.5,,,N1,Tiếng Anh
1629,64001632,5.6,6.5,5.75,7.25,,,,,4.4,N1,Tiếng Anh
1630,64001633,6.2,7.5,,,,,7.25,,6.4,N1,Tiếng Anh
1631,64001634,6.6,,,,,6.25,,,5.6,N1,Tiếng Anh
1632,64001635,3.4,5.75,,,,2.75,4.25,7.25,,N1,Tiếng Anh
1633,64001636,6.4,6.5,,,,3.5,6.75,,3.4,N1,Tiếng Anh
1634,64001637,3.2,6.5,,,,4.75,5.75,7.25,3.6,N1,Tiếng Anh
1635,64001638,5.6,8.5,,,,8.5,8.5,,6.6,N1,Tiếng Anh
1636,64001639,5.8,,,4.5,4.5,,,,,N1,Tiếng Anh
1637,64001640,6.6,,6.5,,6.5,,,,3.6,N1,Tiếng Anh
1638,64001641,5.8,6.5,,,,5.5,7.25,8.5,5.6,N1,Tiếng Anh
1639,64001642,,,,,6.75,,,,7.2,N1,Tiếng Anh
1640,64001643,7.2,3.25,2.25,6.75,5.25,,,,,N1,Tiếng Anh
1641,64001644,7.6,7.25,,,,6.75,6.5,10.0,8.2,N1,Tiếng Anh
1642,64001645,,6.1,3.75,3.75,7.25,,,,3.4,N1,Tiếng Anh
1643,64001646,6.4,6.58,,,6.5,,,,,N1,Tiếng Anh
1644,64001647,3.4,,,,,6.25,6.75,6.75,4.4,N1,Tiếng Anh
1645,64001648,5.8,,4.75,,5.75,,,,,N1,Tiếng Anh
1646,64001649,7.2,,,,,,,,3.6,N1,Tiếng Anh
1647,64001650,,,,,,6.75,4.75,7.75,2.2,N1,Tiếng Anh
1648,64001651,9.2,7.25,7.25,,9.25,,,,4.6,N1,Tiếng Anh
1649,64001652,7.8,6.5,7.75,,,,,,5.4,N1,Tiếng Anh
1650,64001653,6.4,,,,,,6.5,6.75,,N1,Tiếng Anh
1651,64001654,8.6,,6.75,8.5,,,,,8.8,N1,Tiếng Anh
1652,64001655,5.8,6.8,,,,7.5,7.5,8.75,5.4,N1,Tiếng Anh
1653,64001656,7.2,8.75,,,,6.5,6.75,10.0,,N1,Tiếng Anh
1654,64001657,6.2,5.75,,,,7.75,7.25,7.75,4.2,N1,Tiếng Anh
1655,64001658,7.2,6.5,5.25,,5.5,,,,8.6,N1,Tiếng Anh
1656,64001659,,6.75,4.25,5.5,6.25,,,,4.6,N1,Tiếng Anh
1657,64001660,4.8,6.25,,,,7.75,,7.75,3.8,N1,Tiếng Anh
1658,64001661,4.2,5.75,,,,,5.5,,4.8,N1,Tiếng Anh
1659,64001662,6.4,6.5,,,,5.25,,,6.2,N1,Tiếng Anh
1660,64001663,6.8,6.75,6.75,8.5,,,,,5.8,N1,Tiếng Anh
1661,64001664,,,,,,,6.25,8.25,,N1,Tiếng Anh
1662,64001665,5.8,,4.25,6.75,5.5,,,,,N1,Tiếng Anh
1663,64001666,4.6,,,,,4.5,6.75,7.5,4.2,N1,Tiếng Anh
1664,64001667,4.4,7.5,,,,6.5,,7.5,3.2,N1,Tiếng Anh
1665,64001668,5.8,,4.25,,4.25,,,,3.6,N1,Tiếng Anh
1666,64001669,3.6,8.75,,,,6.25,7.75,6.5,4.2,N1,Tiếng Anh
1667,64001670,4.6,4.25,,,,5.25,4.75,7.75,3.6,N1,Tiếng Anh
1668,64001671,4.8,,,,,,4.75,,3.6,N1,Tiếng Anh
1669,64001672,3.8,4.75,,,,4.5,4.5,,2.6,N1,Tiếng Anh
1670,64001673,7.2,4.5,5.75,6.75,5.75,,,,4.6,N1,Tiếng Anh
1671,64001674,5.4,7.25,,,,6.5,,,4.8,N1,Tiếng Anh
1672,64001675,7.2,7.25,6.25,7.5,8.25,,,,6.4,N1,Tiếng Anh
1673,64001676,8.4,7.75,8.25,8.75,6.5,,,,8.6,N1,Tiếng Anh
1674,64001677,5.8,,,,,,8.25,8.5,,N1,Tiếng Anh
1675,64001678,5.8,5.5,,,,4.75,,8.75,4.4,N1,Tiếng Anh
1676,64001679,4.4,,,,,4.75,7.25,8.25,7.2,N1,Tiếng Anh
1677,64001680,5.4,6.25,,,,6.25,6.75,7.25,3.6,N1,Tiếng Anh
1678,64001681,,5.75,,,,3.75,,6.75,3.2,N1,Tiếng Anh
1679,64001682,7.8,5.5,8.25,7.75,,,,,3.8,N1,Tiếng Anh
1680,64001683,4.6,,,,,5.5,4.75,8.25,,N1,Tiếng Anh
1681,64001684,4.4,5.75,,,,7.75,5.75,6.75,4.6,N1,Tiếng Anh
1682,64001685,7.2,,6.5,8.25,6.25,,,,4.8,N1,Tiếng Anh
1683,64001686,,6.25,,,,,5.75,7.5,4.6,N1,Tiếng Anh
1684,64001687,5.4,6.75,,,,5.5,6.75,7.25,3.6,N1,Tiếng Anh
1685,64001688,6.6,6.25,5.25,6.5,5.25,,,,3.6,N1,Tiếng Anh
1686,64001689,,6.75,,,,5.75,7.5,,,N1,Tiếng Anh
1687,64001690,5.8,7.75,,,,6.75,7.75,,5.8,N1,Tiếng Anh
1688,64001691,4.6,6.75,,,,3.75,6.25,6.25,3.6,N1,Tiếng Anh
1689,64001692,,4.75,,,,,8.5,9.25,,N1,Tiếng Anh
1690,64001693,7.2,8.5,8.5,8.5,7.5,,,,,N1,Tiếng Anh
1691,64001694,7.2,,6.25,6.75,5.25,,,,,N1,Tiếng Anh
1692,64001695,,7.5,,6.75,5.5,,,,3.8,N1,Tiếng Anh
1693,64001696,6.6,5.75,,,,5.5,,7.25,4.2,N1,Tiếng Anh
1694,64001697,7.4,6.25,,6.75,6.25,,,,5.4,N1,Tiếng Anh
1695,64001698,7.2,8.75,7.5,,5.25,,,,6.8,N1,Tiếng Anh
1696,64001699,,6.75,,,,6.25,6.25,9.25,7.2,N1,Tiếng Anh
1697,64001700,,,4.75,4.75,5.75,,,,6.2,N1,Tiếng Anh
1698,64001701,,,,,,6.25,6.25,,,N1,Tiếng Anh
1699,64001702,7.2,5.75,,,7.75,,,,5.2,N1,Tiếng Anh
1700,64001703,3.6,7.5,,,,6.75,6.25,8.75,3.4,N1,Tiếng Anh
1701,64001704,,6.75,3.25,6.25,5.75,,,,4.2,N1,Tiếng Anh
1702,64001705,5.8,,,,,7.5,7.25,9.25,,N1,Tiếng Anh
1703,64001706,5.4,7.75,,,,5.75,4.75,6.25,3.6,N1,Tiếng Anh
1704,64001707,7.8,6.5,5.5,7.75,8.25,,,,5.6,N1,Tiếng Anh
1705,64001708,6.2,,,,,5.25,6.5,8.25,4.6,N1,Tiếng Anh
1706,64001709,6.4,6.5,6.75,7.25,6.25,,,,5.2,N1,Tiếng Anh
1707,64001710,3.6,7.5,,,,7.5,,7.75,4.2,N1,Tiếng Anh
1708,64001711,3.6,,,,,7.5,,7.5,7.8,N1,Tiếng Anh
1709,64001712,,8.75,5.5,6.5,6.5,,,,7.4,N1,Tiếng Anh
1710,64001713,7.8,,7.5,7.75,,,,,5.8,N1,Tiếng Anh
1711,64001714,,,,,,6.5,,7.5,3.2,N1,Tiếng Anh
1712,64001715,,8.5,,7.5,,,,,7.2,N1,Tiếng Anh
1713,64001716,4.4,7.75,3.75,3.75,6.25,,,,3.6,N1,Tiếng Anh
1714,64001717,,8.25,6.75,,,,,,4.8,N1,Tiếng Anh
1715,64001718,3.2,6.5,,,,3.5,5.25,,2.8,N1,Tiếng Anh
1716,64001719,4.6,6.25,,,,8.25,7.5,8.5,3.4,N1,Tiếng Anh
1717,64001720,6.2,5.5,,,,4.5,5.75,7.75,4.2,N1,Tiếng Anh
1718,64001721,3.4,,,,,5.25,6.75,6.75,2.6,N1,Tiếng Anh
1719,64001722,8.2,6.5,7.5,7.75,5.5,,,,5.4,N1,Tiếng Anh
1720,64001723,7.2,6.5,5.25,5.75,,,,,3.8,N1,Tiếng Anh
1721,64001724,3.2,6.75,,,,4.75,5.5,8.25,,N1,Tiếng Anh
1722,64001725,6.2,7.5,7.75,6.25,6.5,,,,5.4,N1,Tiếng Anh
1723,64001726,5.4,,,,,6.75,,7.5,3.2,N1,Tiếng Anh
1724,64001727,5.8,8.5,,,,8.75,8.5,8.25,5.4,N1,Tiếng Anh
1725,64001728,6.6,,,,,4.5,5.5,8.25,2.4,N1,Tiếng Anh
1726,64001729,,,,,,7.75,7.5,8.75,4.4,N1,Tiếng Anh
1727,64001730,3.6,,,,,5.75,7.25,8.75,,N1,Tiếng Anh
1728,64001731,6.6,6.75,6.5,7.5,6.75,,,,,N1,Tiếng Anh
1729,64001732,3.6,5.5,,,,5.5,7.25,6.25,,N1,Tiếng Anh
1730,64001733,6.4,6.5,,4.5,,,,,4.6,N1,Tiếng Anh
