,Số báo danh,Toán,Văn,Lý,Hóa,Sinh,Sử,Địa,Giáo dục công dân,Ngoại ngữ,Mã môn ngoại ngữ,Tên ngoại ngữ
84,64000086,6.6,6.5,,,,5.75,5.75,,5.8,N1,Tiếng Anh
85,64000087,6.4,,5.5,7.25,5.5,,,,2.2,N1,Tiếng Anh
86,64000088,7.6,7.25,6.75,6.25,5.75,,,,7.4,N1,Tiếng Anh
87,64000089,7.2,8.25,,,,8.25,,10.0,5.2,N1,Tiếng Anh
88,64000090,4.4,7.5,,,,,5.5,,,,
89,64000091,6.4,5.5,3.5,,6.5,,,,4.2,N1,Tiếng Anh
90,64000092,4.8,,,,,4.25,,,3.2,N1,Tiếng Anh
91,64000093,4.8,5.5,,,,4.25,5.25,,,,
92,64000094,5.8,7.5,,,,7.5,,8.75,4.8,N1,Tiếng Anh
93,64000095,,7.5,,,,3.75,6.25,,2.8,N1,Tiếng Anh
94,64000096,6.6,6.25,6.5,,6.75,,,,3.8,N1,Tiếng Anh
95,64000097,8.2,6.75,6.75,8.25,,,,,5.2,N1,Tiếng Anh
96,64000098,6.6,6.75,,,,,6.25,8.25,,N1,Tiếng Anh
97,64000099,,,,,,6.25,5.75,,,,
98,64000100,6.6,,,,,,6.25,8.25,4.8,N1,Tiếng Anh
99,64000101,4.2,6.75,,,,3.75,,7.75,3.4,N1,Tiếng Anh
100,64000102,4.6,6.75,6.5,6.5,5.25,,,,,N1,Tiếng Anh
101,64000103,7.4,7.25,,,,,7.75,9.75,4.4,N1,Tiếng Anh
102,64000104,5.6,6.25,,,,3.75,3.75,5.75,4.6,N1,Tiếng Anh
103,64000105,,,,,,3.75,5.5,,,,
104,64000106,3.4,3.5,,,,3.75,,,,,
105,64000107,2.6,5.5,,,,3.5,3.75,,,,
106,64000108,4.6,,,,,7.25,6.25,,,N1,Tiếng Anh
107,64000109,7.4,,6.25,7.75,7.75,,,,,N1,Tiếng Anh
108,64000110,2.8,2.5,,,,3.5,,,,,
109,64000111,8.2,6.5,8.5,7.25,6.5,,,,5.6,N1,Tiếng Anh
110,64000112,4.8,,,,,3.75,4.75,6.75,4.2,N1,Tiếng Anh
111,64000113,5.2,,,,,,6.5,8.75,4.6,N1,Tiếng Anh
112,64000114,,7.5,7.25,8.25,6.5,,,,5.2,N1,Tiếng Anh
113,64000115,,,,4.5,5.75,,,,,,
114,64000116,5.2,,,,,5.5,,,4.2,N1,Tiếng Anh
115,64000117,5.4,,,,,4.5,4.25,7.5,3.8,N1,Tiếng Anh
116,64000118,,,,,,,,,,N1,Tiếng Anh
117,64000119,3.4,5.5,,,,4.5,,8.25,,N1,Tiếng Anh
118,64000120,6.2,6.75,,,,6.75,7.25,7.5,,N1,Tiếng Anh
119,64000121,5.6,6.5,,,,4.75,5.75,,,,
120,64000122,6.2,,,,,,5.5,8.25,3.6,N1,Tiếng Anh
121,64000123,6.4,6.75,,,,,5.75,7.25,4.4,N1,Tiếng Anh
122,64000124,6.8,7.5,,,,5.5,6.5,8.25,5.2,N1,Tiếng Anh
123,64000125,,6.75,,,,3.5,5.5,7.5,4.4,N1,Tiếng Anh
124,64000126,5.6,7.25,,,,5.5,4.75,8.25,3.8,N1,Tiếng Anh
125,64000127,,8.75,,,,,,,,N1,Tiếng Anh
126,64000128,4.2,5.75,,,,,4.25,6.75,3.2,N1,Tiếng Anh
127,64000129,,5.75,,,,2.75,,,,,
128,64000130,8.2,8.25,,,6.25,,,,8.2,N1,Tiếng Anh
129,64000131,2.8,6.75,,,,4.25,4.25,5.25,2.4,N1,Tiếng Anh
130,64000132,6.2,8.75,,,,8.25,7.75,9.75,4.8,N1,Tiếng Anh
131,64000133,4.4,7.5,,,,2.75,4.25,8.5,,N1,Tiếng Anh
132,64000134,3.6,5.5,,,,3.5,4.75,,,,
133,64000135,6.4,6.75,,,,7.5,6.75,9.5,,N1,Tiếng Anh
134,64000136,5.8,,,,,,5.75,,,,
135,64000137,5.4,,,,,5.25,6.5,,3.2,N1,Tiếng Anh
136,64000138,5.6,6.5,,,,,6.25,6.75,,N1,Tiếng Anh
137,64000139,5.2,,,,,6.75,,9.5,,N1,Tiếng Anh
138,64000140,7.6,6.25,,7.25,7.25,,,,,N1,Tiếng Anh
139,64000141,6.4,7.25,,,,6.25,5.25,7.25,,N1,Tiếng Anh
140,64000142,6.4,,,,,7.5,,9.5,4.8,N1,Tiếng Anh
141,64000143,3.6,,,,,5.25,3.75,,,,
142,64000144,6.8,6.75,6.5,6.5,,,,,4.6,N1,Tiếng Anh
143,64000145,6.6,6.25,,,,,4.75,,5.2,N1,Tiếng Anh
144,64000146,7.6,7.75,,,,5.25,6.5,,5.4,N1,Tiếng Anh
